name,team,Pos,wRC,oWAR,offWAR,atBats,plateAppearances,hits,doubles,triples,homeRuns,walks,hitByPitch,sacFlies,sacBunts,intentionalWalks,strikeouts,doublePlays,steals,caughtStealing,runs,rbis,avg,obp,slg,ops,wOBA,wRAA,wSB,spd,ubr,PosAdj
고종욱,Tigers (KBO),좌익,87.67699512,0.019500307,0.062000307,31,34,8,2,0,1,3,0,0,0,0,6,2,0,0,3,4,0.258064516,0.323529412,0.419354839,0.74288425,0.329766731,-0.566377023,0.013233144,0.033333333,-0.526853048,-0.0425
김성윤,Lions (KBO),중견,61.36374539,0.020174153,-0.01690918,74,89,18,4,0,0,9,1,2,3,0,16,1,3,1,15,6,0.243243243,0.325581395,0.297297297,0.622878693,0.292605311,-4.648310331,-0.006760947,5.440246416,0.035979477,0.037083333
김강민,Eagles (KBO),중견,64.59477576,-0.023813506,-0.060063506,76,87,17,0,0,1,8,3,0,0,0,21,1,0,0,5,7,0.223684211,0.32183908,0.263157895,0.584996975,0.297168399,-4.163865481,0.044661862,1.837566138,-0.831431442,0.03625
박경수,Wiz (KBO),2루,359.44864,0.123856489,0.122606489,3,3,2,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0.666666667,0.666666667,1,1.666666667,0.713581733,1.052162313,0.001654143,6.414285714,0.022248438,0.00125
김대원,Twins (KBO),지명,181.8947632,0.040697428,0.052364094,4,4,2,0,0,0,0,0,0,0,0,1,0,2,1,5,0,0.5,0.5,0.5,1,0.462827679,0.442818964,-0.243152094,17.69927106,0.123974072,-0.011666667
임병욱,Heroes (KBO),중견,60.313751,0.006009964,-0.032323369,87,92,21,3,0,3,4,0,1,0,0,32,1,1,0,14,10,0.24137931,0.27173913,0.379310345,0.651049475,0.291122436,-4.935577423,0.231428718,4.306022976,-0.219084984,0.038333333
박승욱,Giants (KBO),유격,87.96443909,1.689492461,1.109492461,402,464,105,19,1,7,43,10,3,3,3,119,7,4,5,55,52,0.26119403,0.349240781,0.365671642,0.714912423,0.330172679,-7.549086546,-2.215609162,3.618137422,-2.340379682,0.58
송지후,Heroes (KBO),2루,-145.8241613,-0.027813663,-0.02823033,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.332303301,0,0,0,0.000416667
정대선,Giants (KBO),2루,-145.8241613,-0.055627327,-0.05646066,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-0.664606601,0,0,0,0.000833333
박민,Tigers (KBO),유격,75.47194085,0.023839818,-0.013660182,29,30,8,4,0,0,1,0,0,0,0,7,0,0,1,5,2,0.275862069,0.3,0.413793103,0.713793103,0.312529896,-0.994705521,-0.638189665,5.255530908,-0.003706632,0.0375
김한별,Dinos (KBO),유격,106.3757663,0.302431056,0.248681056,37,43,11,1,0,0,2,4,0,0,0,9,1,0,0,8,2,0.297297297,0.395348837,0.324324324,0.719673162,0.356174448,0.370604709,0.026466289,4.838321995,-0.060260436,0.05375
김현준,Lions (KBO),우익,41.13154869,-0.840649778,-0.584399778,183,205,41,10,1,0,11,4,3,4,0,49,4,2,0,23,11,0.224043716,0.278606965,0.289617486,0.568224452,0.264031983,-16.31347796,0.474436437,4.811563312,-0.25495626,-0.25625
서예일,Bears (KBO),3루,41.55082486,-0.062021983,-0.070355316,18,20,4,0,0,0,2,0,0,0,0,5,0,0,0,2,1,0.222222222,0.3,0.222222222,0.522222222,0.264624114,-1.580223336,0.009924858,3.080952381,-0.133254686,0.008333333
천성호,Wiz (KBO),2루,87.38316112,1.225126795,1.118876795,234,255,69,8,3,1,18,1,1,1,0,43,5,7,0,41,17,0.294871795,0.346456693,0.367521368,0.71397806,0.329351758,-4.349114346,1.525714871,6.76950035,1.262167423,0.10625
오명진,Bears (KBO),2루,135.6129206,0.015325141,0.014491808,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.5,0,0.5,0.397465211,0.09628257,0.001654143,0,-0.053018638,0.000833333
강민성,Wiz (KBO),1루,-145.8241613,-0.030313663,-0.02823033,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.332303301,0,0,0,-0.002083333
유강남,Giants (KBO),포수,50.43695087,-0.044785153,-0.36770182,136,155,26,3,0,5,9,7,1,2,0,25,4,0,0,11,20,0.191176471,0.274509804,0.323529412,0.598039216,0.277173725,-10.38483985,0.056240863,1.640466424,-1.098419216,0.322916667
안익훈,Twins (KBO),좌익,4.233271379,-0.48237965,-0.41237965,49,56,9,1,0,0,4,0,1,2,0,13,2,2,0,8,3,0.183673469,0.240740741,0.204081633,0.444822373,0.211921644,-7.249578685,0.419849716,4.578267399,-0.094067534,-0.07
주성원,Heroes (KBO),우익,41.23594935,-0.315125102,-0.237625102,55,62,11,1,0,1,6,0,0,1,0,18,2,0,0,7,5,0.2,0.278688525,0.272727273,0.551415797,0.264179424,-4.925082419,0.024812146,1.701984127,-0.57598075,-0.0775
카데나스,Lions (KBO),우익,146.6876873,0.160052268,0.191302268,24,25,8,2,0,2,1,0,0,0,0,6,1,0,1,2,5,0.333333333,0.36,0.666666667,1.026666667,0.413105774,1.577801842,-0.638189665,0.692038844,-0.276589498,-0.03125
장규빈,Bears (KBO),포수,18.03530093,-0.014708542,-0.023041876,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.25,0.25,0.25,0.5,0.23141384,-0.443197119,0.001654143,6.414285714,0.011124219,0.008333333
한경빈,Eagles (KBO),유격,-145.8241613,-0.02698033,-0.02823033,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.332303301,0,0,0,0.00125
강성우,Giants (KBO),지명,71.03755541,-0.06997599,-0.06122599,2,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.5,0.5,0.5,1,0.306267345,-0.117453661,-0.644806237,4.057142857,0,-0.00875
양도근,Lions (KBO),2루,59.7691801,0.053205635,0.041122301,23,29,4,0,1,0,5,0,0,1,0,8,0,0,0,5,2,0.173913043,0.321428571,0.260869565,0.582298137,0.290353354,-1.577128102,0.013233144,11.13650794,0.525117971,0.012083333
