이름,팀,,fWAR,(RA9+f)/2 WAR,이닝,실점,자책점,삼진,피안타,4구,사구,피홈런,승,패,홀,세,ERA,FIP,ERA+,FIP+,WHIP,K/9,BB/9,K/BB,HR/9,RA9,WIN%,ERA-WAR
이지강,Twins (KBO),,0.820467399,0.741672625,48.2,29,21,36,53,24,1,3,2,3,1,1,3.921161826,4.627379554,118.7679548,100.6419216,1.597510373,6.721991701,4.481327801,1.5,0.560165975,5.414937759,0.4,1.259425402
김도현,Tigers (KBO),,0.661257,0.737606013,68,45,41,52,84,29,9,9,3,6,0,3,5.426470588,5.623657319,91.40000052,88.19517024,1.661764706,6.882352941,3.838235294,1.793103448,1.191176471,5.955882353,0.333333333,0.794529848
최준호,Bears (KBO),,0.538850257,0.736872499,72.1,44,41,58,68,29,4,11,3,6,0,0,5.117891817,5.503583075,90.99613419,84.61912252,1.345353675,7.239944521,3.619972261,2,1.373092926,5.492371706,0.333333333,0.82484661
김성민,Heroes (KBO),,0.584918041,0.735549275,45.2,24,22,34,45,17,1,5,3,4,0,14,4.380530973,4.884328844,104.2574434,93.50372889,1.371681416,6.769911504,3.384955752,2,0.995575221,4.778761062,0.428571429,0.857968074
라우어,Tigers (KBO),,0.797962896,0.71514834,30.2,17,17,33,30,10,3,3,2,2,0,0,5.066225166,4.153361253,97.89920471,119.4163918,1.324503311,9.834437086,2.98013245,3.3,0.894039735,5.066225166,0.5,0.467716179
김동욱,Heroes (KBO),,0.550279311,0.706067905,32.2,15,15,16,27,4,2,3,1,1,0,2,4.192546584,4.532407775,108.9321134,100.7638727,0.962732919,4.472049689,1.118012422,4,0.838509317,4.192546584,0.5,0.68934175
이상동,Wiz (KBO),,0.718215743,0.644976041,32,20,19,30,42,14,3,3,0,1,0,3,5.34375,4.69351026,97.49460211,111.0015215,1.75,8.4375,3.9375,2.142857143,0.84375,5.625,0,0.488234816
최하늘,Lions (KBO),,0.578801076,0.616263809,32,20,19,18,26,16,4,2,1,1,0,1,5.34375,5.31851026,102.106558,102.5911191,1.3125,5.0625,4.5,1.125,0.5625,5.625,0.5,0.570388554
김대우,Lions (KBO),,0.738004615,0.60496383,34.1,24,21,23,42,9,3,4,0,0,0,5,5.542521994,4.987681814,98.44470078,109.3958956,1.495601173,6.070381232,2.375366569,2.555555556,1.055718475,6.33431085,0,0.538639611
김강현,Giants (KBO),,0.448501272,0.599337725,25.1,13,10,24,28,18,2,2,0,0,0,0,3.585657371,5.269954483,150.1879998,102.1873548,1.832669323,8.605577689,6.454183267,1.333333333,0.717131474,4.661354582,0,0.956145305
박시영,Wiz (KBO),,0.489275158,0.597785441,25.1,13,13,23,27,7,1,4,0,1,1,4,4.661354582,4.951229383,111.7672494,105.2237212,1.354581673,8.247011952,2.509960159,3.285714286,1.434262948,4.661354582,0,0.572825921
주권,Wiz (KBO),,1.090209213,0.593067841,57,48,43,30,76,10,3,7,1,1,0,0,6.789473684,4.984080435,76.73448698,104.530171,1.50877193,4.736842105,1.578947368,3,1.105263158,7.578947368,0.5,0.130474774
이로운,Landers (KBO),,0.725066349,0.576219583,56,43,37,41,67,43,3,4,1,3,1,9,5.946428571,5.684581688,89.397588,93.51547759,1.964285714,6.589285714,6.910714286,0.953488372,0.642857143,6.910714286,0.25,0.586103073
김재웅,Heroes (KBO),,0.290942767,0.565148078,23.2,9,9,19,24,12,1,2,0,2,0,7,3.49137931,4.919803363,130.808749,92.82951499,1.551724138,7.370689655,4.655172414,1.583333333,0.775862069,3.49137931,0,0.724729147
서진용,Landers (KBO),,0.660159238,0.541975471,42.2,31,26,32,43,23,0,5,0,1,0,6,5.545023697,5.414778032,95.86908922,98.17509939,1.563981043,6.82464455,4.90521327,1.391304348,1.066350711,6.611374408,0,0.604487452
손동현,Wiz (KBO),,0.580313027,0.507684453,43.1,31,28,26,49,20,1,5,1,2,1,4,5.846867749,5.519351327,89.10527865,94.39275545,1.600928074,5.429234339,4.176334107,1.3,1.044083527,6.473317865,0.333333333,0.443348476
박정수,Bears (KBO),,0.511714837,0.433669965,29.1,18,17,22,38,12,2,2,1,2,0,3,5.257731959,4.580752528,88.57590577,101.6663458,1.718213058,6.804123711,3.711340206,1.833333333,0.618556701,5.567010309,0.333333333,0.289837772
김민우,Eagles (KBO),,0.171715021,0.428758815,12.1,3,3,13,7,6,0,2,1,0,0,0,2.231404959,5.243613565,224.7444451,95.63936451,1.074380165,9.669421488,4.462809917,2.166666667,1.487603306,2.231404959,1,0.651703466
최지민,Tigers (KBO),,0.272216638,0.421126899,42,27,25,31,40,39,4,2,2,3,3,11,5.357142857,5.970295974,92.58282406,83.07451034,1.880952381,6.642857143,8.357142857,0.794871795,0.428571429,5.785714286,0.4,0.520532783
이용찬,Dinos (KBO),,0.927641948,0.410355838,54,44,33,48,79,20,2,6,3,9,16,2,5.5,4.644899149,85.23447579,100.9256825,1.833333333,8,3.333333333,2.4,1,7.333333333,0.25,0.42474361
김선기,Heroes (KBO),,-0.006689123,0.383923321,72.2,45,42,41,84,29,6,12,6,4,0,0,5.235457064,6.235234636,87.23268179,73.24551307,1.565096953,5.110803324,3.614958449,1.413793103,1.495844875,5.609418283,0.6,0.658832432
육청명,Wiz (KBO),,0.245671646,0.376509378,44.2,31,27,20,52,20,6,6,1,5,0,0,5.497737557,6.380444649,94.76385053,81.65367913,1.628959276,4.07239819,4.07239819,1,1.221719457,6.312217195,0.166666667,0.604728294
김사윤,Tigers (KBO),,0.622724247,0.364144901,37,29,19,36,40,25,5,2,0,1,1,0,4.621621622,4.945199449,107.3171833,100.2951286,1.756756757,8.756756757,6.081081081,1.44,0.486486486,7.054054054,0,0.761585842
임기영,Tigers (KBO),,0.49893363,0.363283554,44,33,30,35,58,17,1,7,6,2,0,2,6.136363636,5.460555714,80.82627497,90.82947607,1.704545455,7.159090909,3.477272727,2.058823529,1.431818182,6.75,0.75,0.220708272
시라카와,Bears (KBO),,0.484256405,0.360461679,57.1,41,36,46,59,33,3,6,4,5,0,0,5.674255692,5.402244936,82.07391345,86.20645233,1.611208406,7.250437828,5.201401051,1.393939394,0.945709282,6.46234676,0.444444444,0.333020642
김기훈,Tigers (KBO),,0.291571956,0.356340396,17.1,9,7,14,13,13,3,0,0,0,0,0,3.684210526,4.925600903,134.622984,100.6941943,1.520467836,7.368421053,6.842105263,1.076923077,0,4.736842105,0,0.559404521
전미르,Giants (KBO),,0.596009421,0.353186779,33.2,28,22,34,33,21,1,4,1,5,1,5,5.963855422,5.262034356,90.2977471,102.3411616,1.626506024,9.21686747,5.692771084,1.619047619,1.084337349,7.590361446,0.166666667,0.365744158
이상영,Twins (KBO),,0.074285763,0.351266789,16.1,6,6,8,15,8,4,1,0,1,0,1,3.354037267,5.805699701,138.8500882,80.21571809,1.428571429,4.472049689,4.472049689,1,0.559006211,3.354037267,0,0.551804592
이기순,Landers (KBO),,0.130726886,0.34291514,19.2,10,8,24,12,23,1,2,1,1,0,0,3.75,6.360176926,141.7590324,83.58201,1.822916667,11.25,10.78125,1.043478261,0.9375,4.6875,0.5,0.677814727
이준영,Tigers (KBO),,0.280069731,0.33894403,32,21,15,28,35,16,2,5,3,0,0,9,4.21875,5.72476026,117.5654909,86.63758692,1.59375,7.875,4.5,1.75,1.40625,5.90625,1,0.818537199
김윤하,Heroes (KBO),,0.61069838,0.336650044,72,54,50,39,86,34,3,6,1,6,0,2,6.25,5.297676926,73.07247361,86.20815621,1.666666667,4.875,4.25,1.147058824,0.75,6.75,0.142857143,-0.015265055
최준용,Giants (KBO),,0.231763752,0.335905356,21.2,13,13,12,28,14,1,2,1,2,0,3,5.518867925,5.972991392,97.57847369,90.15963246,1.981132075,5.094339623,5.943396226,0.857142857,0.849056604,5.518867925,0.333333333,0.324467713
송은범,Lions (KBO),,0.239271926,0.324596308,6.2,1,1,2,5,1,0,0,0,0,0,1,1.451612903,3.594719937,375.8797666,151.7870457,0.967741935,2.903225806,1.451612903,2,0,1.451612903,0,0.402242064
최원준,Bears (KBO),,0.11433073,0.323916789,106.2,75,75,69,119,33,9,21,6,7,0,0,6.355932203,6.213637378,73.27145029,74.94939633,1.43126177,5.847457627,2.796610169,2.090909091,1.779661017,6.355932203,0.461538462,-0.007940964
장지훈,Landers (KBO),,0.351286806,0.315238536,19.2,13,13,8,24,9,1,1,0,0,0,0,6.09375,5.16226026,87.23632763,102.9774449,1.71875,3.75,4.21875,0.888888889,0.46875,6.09375,0,0.175245763
스타우트,Tigers (KBO),,0.376401722,0.309277217,16,10,9,20,17,5,3,2,1,1,0,0,5.0625,4.38101026,97.97124239,113.2111968,1.375,11.25,2.8125,4,1.125,5.625,0.5,0.248450202
김규연,Eagles (KBO),,0.719059535,0.298921069,57.2,50,46,40,66,28,4,6,1,0,0,4,7.237762238,5.399366903,69.28880125,92.88049473,1.643356643,6.293706294,4.405594406,1.428571429,0.944055944,7.867132867,1,-0.162911426
조동욱,Eagles (KBO),,0.544871187,0.298176739,38,31,26,30,51,12,5,5,1,2,0,0,6.157894737,5.22969447,81.43950012,95.8939135,1.657894737,7.105263158,2.842105263,2.5,1.184210526,7.342105263,0.333333333,0.205890325
성재헌,Wiz (KBO),,0.649084481,0.292241178,32,29,26,20,46,16,5,1,0,0,0,1,7.3125,4.88101026,71.24605539,106.7374892,1.9375,5.625,4.5,1.25,0.28125,8.15625,0,-0.047310079
박민호,Landers (KBO),,0.141163945,0.275799058,22.2,14,12,10,25,7,2,4,2,0,0,0,4.864864865,6.413667917,109.2725875,82.884923,1.441441441,4.054054054,2.837837838,1.428571429,1.621621622,5.675675676,1,0.479080285
조이현,Wiz (KBO),,0.164744687,0.275550721,40,29,28,19,53,10,1,9,1,2,0,0,6.3,6.55601026,82.69631429,79.4670477,1.575,4.275,2.25,1.9,2.025,6.525,0.333333333,0.249462929
정우영,Twins (KBO),,0.336331815,0.266349186,20.1,13,10,15,29,11,5,0,2,1,0,3,4.47761194,4.651532648,104.0082027,100.1193382,1.990049751,6.71641791,4.925373134,1.363636364,0,5.820895522,0.666666667,0.378861706
김기중,Eagles (KBO),,0.324860479,0.265975915,54,42,41,34,77,24,6,8,5,4,0,0,6.833333333,6.089343593,73.38963939,82.35631009,1.87037037,5.666666667,4,1.416666667,1.333333333,7,0.555555556,0.000360497
류진욱,Dinos (KBO),,0.48591583,0.263317385,39.1,30,27,32,51,19,2,4,2,1,0,10,6.21483376,5.060358086,75.43075728,92.63961342,1.79028133,7.3657289,4.373401535,1.684210526,0.920716113,6.905370844,0.666666667,0.054927405
진해수,Giants (KBO),,0.300138353,0.259374388,27.2,21,19,22,36,10,3,5,2,1,0,5,6.286764706,5.961892613,85.65975248,90.32747545,1.691176471,7.279411765,3.308823529,2.2,1.654411765,6.948529412,0.666666667,0.221282868
양지율,Heroes (KBO),,0.086407702,0.257293302,18.2,9,9,7,15,10,2,1,0,1,0,3,4.450549451,5.679087183,102.6172083,80.41837453,1.373626374,3.461538462,4.945054945,0.7,0.494505495,4.450549451,0,0.329449811
장시환,Eagles (KBO),,0.440797869,0.242903632,33.1,27,19,28,34,22,1,3,2,2,0,2,5.166163142,5.327007239,97.07317701,94.14214149,1.6918429,7.613293051,5.981873112,1.272727273,0.81570997,7.341389728,0.5,0.497058013
페냐,Eagles (KBO),,0.282070823,0.241734681,37.1,28,26,29,41,20,0,6,3,5,0,0,6.307277628,5.912344492,79.51066985,84.82182828,1.644204852,7.035040431,4.851752022,1.45,1.455525606,6.79245283,0.375,0.15387392
이상규,Eagles (KBO),,0.11870791,0.239757385,25,16,16,21,30,12,1,5,1,3,0,0,5.76,6.23601026,87.06525506,80.41934639,1.68,7.56,4.32,1.75,1.8,5.76,0.25,0.225509181
박진형,Giants (KBO),,0.245100427,0.221872411,6.1,3,3,4,6,1,1,0,0,0,0,0,4.426229508,3.428141407,121.6662416,157.0888259,1.147540984,5.901639344,1.475409836,4,0,4.426229508,0,0.167287459
김인범,Heroes (KBO),,-0.187776256,0.215278602,63.1,40,38,27,75,31,8,9,2,7,0,0,5.419968304,6.608625157,84.26303152,69.10710612,1.679873217,3.851030111,4.42155309,0.870967742,1.283676704,5.705229794,0.222222222,0.457218592
이선우,Wiz (KBO),,0.217163214,0.209233293,10,6,6,4,10,4,2,0,0,0,0,0,5.4,4.75601026,96.47903334,109.5428209,1.4,3.6,3.6,1,0,5.4,0,0.146761492
김범수,Eagles (KBO),,-0.243466541,0.203223427,34,20,20,38,33,20,5,11,0,0,0,4,5.294117647,7.932480848,94.72699751,63.22055846,1.558823529,10.05882353,5.294117647,1.9,2.911764706,5.294117647,0,0.464443015
문성현,Heroes (KBO),,0.330745272,0.201822224,38.1,28,28,31,54,25,2,3,1,2,3,2,6.614173228,5.278319971,69.04913801,86.52430367,2.073490814,7.322834646,5.905511811,1.24,0.708661417,6.614173228,0.333333333,-0.11493397
진승현,Giants (KBO),,0.202229255,0.196267517,6,3,3,4,5,3,0,0,0,0,0,0,4.5,3.922676926,119.671713,137.2844919,1.333333333,6,4.5,1.333333333,0,4.5,0,0.15922532
송명기,Dinos (KBO),,0.407253294,0.194185941,34.1,27,25,30,40,15,3,4,2,1,0,3,6.598240469,5.104983867,71.04767082,91.82979399,1.612903226,7.917888563,3.958944282,2,1.055718475,7.126099707,0.666666667,-0.055129453
김대현,Twins (KBO),,0.028152571,0.189935294,33,21,21,28,32,18,2,6,2,0,1,1,5.727272727,6.240858745,81.31415993,74.62248219,1.515151515,7.636363636,4.909090909,1.555555556,1.636363636,5.727272727,1,0.176092298
남지민,Eagles (KBO),,0.090356985,0.189622937,4,0,0,3,2,2,1,0,0,0,0,0,0,4.50601026,0,111.2948796,1,6.75,4.5,1.5,0,0,0,0.288888889
